Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"PNG, bonds (NTR, current US$)",-259319000,-459314000,-517440000,-409652000,1895275000,2661763000,4274937000,7053680000,-564050000,504827000,-983444000,-2958485000,-3529333000,-126915000,
"PNG, commercial banks and other creditors (NTR, current US$)",-319217000,-553817000,-244199000,5304594000,-1766929000,2000937000,8941399000,14139100000,6020096000,6470947000,2586369000,11765522000,14793459000,30974292000,
"PPG, other private creditors (NTR, current US$)",313430000,-482450000,-161241000,-73967000,-274691000,-140372000,-26466000,102625000,-27231000,-30408000,-24572000,-31517000,-213636000,-9567000,
"PPG, private creditors (NTR, current US$)",2085295000,-3426969000,-1395591000,-5379413000,419182000,-8923496000,2245398000,4620674000,2100644000,1701349000,13510166000,3690534000,9117807000,-2255686000,
Net official development assistance and official aid received (current US$),1372840000,1732090000,1757870000,729780000,774020000,1875790000,1384300000,1390500000,2117070000,2500390000,2806360000,3228250000,1667630000,,
Net official development assistance and official aid received (constant 2011 US$),2003350000,2717410000,2612860000,822550000,920090000,2201580000,1581200000,1447710000,2259830000,2705430000,3002510000,3228250000,1691180000,,
Net official aid received (current US$),,,,,,,,,,,,,,,
Net official aid received (constant 2011 US$),,,,,,,,,,,,,,,
Net official development assistance received (current US$),1372840000,1732090000,1757870000,729780000,774020000,1875790000,1384300000,1390500000,2117070000,2500390000,2806360000,3228250000,1667630000,,
Net ODA received (% of gross capital formation),1.194468892,1.371213615,1.343670612,0.451520883,0.330517317,0.655948919,0.40659194,0.295141762,0.486833364,0.504529224,0.449684465,0.471894276,0.258560935,,
Net ODA received (% of GNI),0.291082155,0.353670624,0.337713788,0.118885707,0.108012007,0.226458195,0.146988843,0.112718378,0.173966828,0.184209391,0.166007311,0.17318309,0.090766042,,
Net official development assistance received (constant 2011 US$),2003350000,2717410000,2612860000,822550000,920090000,2201580000,1581200000,1447710000,2259830000,2705430000,3002510000,3228250000,1691180000,,
"Net ODA received (% of imports of goods, services and primary income)",,,,,,0.966135618,0.577921614,0.466686549,0.52869032,0.715360347,0.604009211,0.557313048,0.273090585,,
Net ODA received per capita (current US$),1.317173915,1.63481694,1.63263737,0.667205003,0.696922208,1.664197966,1.210804596,1.199642566,1.802279633,2.100924309,2.327722815,2.643600946,1.348465991,,
Net ODA received (% of central government expense),1.901926579,2.295226947,2.126556381,0.770908543,0.721233031,1.506844835,0.969258047,0.748998329,1.025008114,1.105714349,1.014731934,1.22772422,0.564403528,,
"PPG, bilateral (TDS, current US$)",2356746000,2397580000,1941121000,3186943000,2565651000,2360014000,1882179000,1590578000,2078371000,1905842000,1939675000,2513029000,2152294000,2086479000,
"PPG, bilateral concessional (TDS, current US$)",1902750000,1968145000,1518301000,2730185000,2246117000,2084674000,1624626000,1361563000,1798537000,1660373000,1697895000,2235831000,1859172000,1836828000,
"Debt service on external debt, total (TDS, current US$)",10959254000,11770058000,15443024000,25762237000,17508265000,23922399000,17401340000,39403457000,30974401000,16525350000,24412609000,29332412000,30775291000,41125266000,
"Total debt service (% of exports of goods, services and primary income)",17.54806015,17.9274067,20.92336822,29.18050216,14.48046454,14.93022611,8.635236877,15.59101541,9.657990545,6.018410739,6.819232326,6.425181715,6.78252046,8.585855518,
Total debt service (% of GNI),2.323681766,2.403295304,2.966841768,4.196828843,2.443222184,2.888075586,1.847722918,3.194170284,2.545271666,1.217459942,1.444102528,1.573570126,1.675042646,2.216288883,
"IMF repurchases and charges (TDS, current US$)",64929000,19338000,17688000,14959000,22411000,29499000,41707000,36814000,8603000,14344000,19605000,6710000,1823000,7889000,
"Debt service on external debt, long-term (TDS, current US$)",10709575000,11638645000,15279336000,25683181000,17287989000,23579300000,16935720000,37584754000,29403032000,15932290000,23692668000,28485077000,29337985000,39968645000,
"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",878536000,3262696000,3419695000,7655140000,7990847000,8087958000,10849387000,27293012000,14431506000,9274527000,17465923000,20400375000,21396541000,25358205000,
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",15.84551665,12.78716931,16.09229696,20.43703738,7.707871494,9.686725457,3.040978081,4.086765816,4.670892461,2.429933614,1.744809663,1.772506263,1.750649536,,
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",9831039000,8375949000,11859641000,18028041000,9297142000,15491342000,6086333000,10291742000,14971526000,6657763000,6226745000,8084702000,7941444000,14610440000,
Public and publicly guaranteed debt service (% of GNI),2.084467252,1.710261657,2.278418934,2.93688015,1.297386325,1.870220734,0.646263849,0.834281532,1.230261109,0.490492471,0.368336633,0.433712902,0.432238232,0.78737377,
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",,,,,,9.66831481,3.020281402,4.072199386,4.668209995,2.424709632,1.739333345,1.770932627,1.75020369,3.050267872,
"PPG, IBRD (TDS, current US$)",1422580000,1090683000,3370635000,3878496000,344251000,369874000,539224000,702470000,702786000,667770000,624569000,740266000,784509000,932100000,
"PPG, IDA (TDS, current US$)",505580000,570069000,603749000,692469000,748868000,794052000,838499000,889361000,964953000,984446000,1024215000,1101417000,1122748000,1168648000,
"Multilateral debt service (TDS, current US$)",2573900000,2193418000,5999874000,6421476000,2482646000,1402489000,1794841000,1974539000,2086748000,2028602000,2016732000,2320913000,2807927000,2833475000,
Multilateral debt service (% of public and publicly guaranteed debt service),26.18136293,26.18709832,50.5906882,35.61937761,26.70332453,9.053373168,29.48969437,19.18566361,13.93811159,30.46972384,32.3882221,28.70746504,35.35788957,19.39349534,
"PPG, multilateral concessional (TDS, current US$)",528611000,585268000,617625000,707645000,765247000,810602000,853487000,905350000,982032000,1000949000,1043147000,1175715000,1516383000,1321835000,
"PPG, official creditors (TDS, current US$)",4930646000,4590998000,7940995000,9608419000,5048297000,3762503000,3677020000,3565117000,4165119000,3934444000,3956407000,4833942000,4960221000,4919954000,
"PPG, bonds (TDS, current US$)",142866000,427561000,478344000,6865229000,2622325000,10255579000,1637299000,5353591000,9528209000,647769000,187654000,251269000,121411000,5711067000,
"PPG, commercial banks (TDS, current US$)",4471920000,2825863000,3278238000,1477255000,1351589000,1332888000,745548000,1348158000,1250967000,2045142000,2058112000,2967974000,2644748000,3969852000,
"PNG, bonds (TDS, current US$)",259319000,459314000,617440000,409652000,168233000,258357000,273642000,739158000,1157889000,1968561000,2271772000,3695145000,4194000000,1350501000,
"PNG, commercial banks and other creditors (TDS, current US$)",619217000,2803382000,2802255000,7245488000,7822614000,7829601000,10575745000,26553854000,13273617000,7305966000,15194151000,16705230000,17202541000,24007704000,
"PPG, other private creditors (TDS, current US$)",285607000,531527000,162064000,77138000,274931000,140372000,26466000,24876000,27231000,30408000,24572000,31517000,215064000,9567000,
"PPG, private creditors (TDS, current US$)",4900393000,3784951000,3918646000,8419622000,4248845000,11728839000,2409313000,6726625000,10806407000,2723319000,2270338000,3250760000,2981223000,9690486000,
Total amount of debt rescheduled (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Undisbursed external debt, total (UND, current US$)",17219979000,17274733000,17727922000,14957370000,19163836000,18360524000,20039062000,23107726000,25256140000,31319750000,31000950000,35400994000,37261873000,37078999000,
"Undisbursed external debt, official creditors (UND, current US$)",16102239000,16330788000,17286608000,14498597000,18386410000,17495655000,18566250000,21964178000,24212242000,30918152000,29906331000,34393320000,36618669000,32853478000,
"Undisbursed external debt, private creditors (UND, current US$)",1117740000,943945000,441314000,458773000,777426000,864869000,1472812000,1143548000,1043898000,401598000,1094619000,1007674000,643204000,4225521000,
Agriculture value added per worker (constant 2005 US$),527.8850226,552.70172,510.0446673,549.7683041,544.5927111,564.847495,580.1633834,608.8239703,602.4190021,600.4339977,644.8296286,669.8202745,672.0945464,696.5613206,
Energy production (kt of oil equivalent),366389.463,374507.365,383666.756,396372.486,409940.609,423856.962,440015.95,460839.657,477794.315,514269.547,531303.824,540938.564,,,
"Access to electricity, rural (% of population)",48.1,,,,,,,,,,66.9,,,,
"Access to electricity, urban (% of population)",91,,,,,,,,,,93.08816683,,,,
Access to electricity (% of population),62.3,,,,,,,,,,75,,,,
Electricity production from coal sources (kWh),3.87E+11,4.04E+11,4.23E+11,4.37E+11,4.59E+11,4.74E+11,5.10E+11,5.42E+11,5.84E+11,6.18E+11,6.44E+11,7.15E+11,,,
Electricity production from coal sources (% of total),68.91623667,69.68613114,70.80695739,68.98666797,68.77967266,67.8736382,67.76762185,66.58250585,69.35978254,68.17525686,67.11398489,67.94009484,,,
"Electricity production from oil, gas and coal sources (% of total)",83.17998461,83.22957266,85.26100256,84.450592,83.77902014,81.78171397,80.84871657,79.85620173,81.65433865,82.23424703,80.89949091,79.41529748,,,
Electricity production from hydroelectric sources (kWh),74462000000,73697000000,64104000000,75339000000,84723000000,1.02E+11,1.14E+11,1.21E+11,1.10E+11,1.04E+11,1.14E+11,1.31E+11,,,
Electricity production from hydroelectric sources (% of total),13.26721877,12.70944711,10.73242111,11.88242957,12.70878678,14.56930121,15.09714506,14.81586597,13.09767926,11.49180275,11.91987441,12.41701748,,,
Electric power transmission and distribution losses (kWh),1.55E+11,1.66E+11,1.63E+11,1.74E+11,1.76E+11,1.80E+11,1.83E+11,1.88E+11,1.80E+11,1.92E+11,1.92E+11,2.22E+11,,,
Electric power transmission and distribution losses (% of output),27.63003164,28.64674232,27.2700333,27.44871356,26.33094777,25.79294779,24.30027016,23.0383159,21.42307245,21.19594764,20.03848145,21.13519523,,,
Electricity production from natural gas sources (kWh),55964000000,55934000000,62885000000,72802000000,76577000000,75467000000,79364000000,95301000000,86903000000,1.16E+11,1.15E+11,1.09E+11,,,
Electricity production from natural gas sources (% of total),9.971349564,9.646121478,10.52833367,11.4822952,11.4868544,10.80803553,10.53613982,11.70891908,10.32452828,12.80417808,12.011234,10.31368487,,,
Electricity production from nuclear sources (kWh),16902000000,19475000000,19390000000,17780000000,17011000000,17324000000,18802000000,16957000000,14927000000,18637000000,26266000000,33286000000,,,
Electricity production from nuclear sources (% of total),3.011502936,3.35856931,3.246312949,2.804252749,2.551717621,2.481063346,2.496100258,2.083379407,1.773405218,2.055183502,2.736204129,3.163076221,,,
Electricity production from oil sources (kWh),24091000000,22599000000,23448000000,25245000000,23416000000,21646000000,19170000000,12736000000,16582000000,11379000000,17032000000,12223000000,,,
Electricity production from oil sources (% of total),4.292398369,3.897320043,3.925711502,3.981628832,3.512493081,3.100040244,2.544954896,1.564776796,1.970027824,1.254812098,1.774272014,1.161517775,,,
Electricity production (kWh),5.61E+11,5.80E+11,5.97E+11,6.34E+11,6.67E+11,6.98E+11,7.53E+11,8.14E+11,8.42E+11,9.07E+11,9.60E+11,1.05E+12,,,
Electricity production from renewable sources (kWh),77500000000,77770000000,68645000000,80809000000,91126000000,1.10E+11,1.25E+11,1.47E+11,1.39E+11,1.42E+11,1.57E+11,1.83E+11,,,
"Electricity production from renewable sources, excluding hydroelectric (kWh)",3038000000,4073000000,4541000000,5470000000,6403000000,8155000000,11736000000,26408000000,29246000000,38257000000,42664000000,52665000000,,,
"Electricity production from renewable sources, excluding hydroelectric (% of total)",0.541293688,0.702410927,0.760263388,0.862725677,0.960475453,1.167921472,1.558038115,3.244552891,3.474576875,4.218766713,4.444430555,5.00460882,,,
GDP per unit of energy use (PPP $ per kg of oil equivalent),4.697572189,4.957144179,5.082009179,5.454047411,5.702398082,6.191172841,6.630934357,7.011685311,7.093108852,7.028932257,7.569966393,7.956506979,,,
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),5.926604844,6.114827184,6.174127214,6.496626602,6.610822256,6.95375357,7.225614722,7.442082062,7.386003962,7.261941361,7.726187717,7.956506979,,,
"Energy imports, net (% of energy use)",19.8620072,19.37430416,19.65762177,19.02622357,21.03845161,21.41892542,22.42074381,23.78526045,24.51382184,26.36036167,26.58945366,27.82160511,,,
"Access to non-solid fuel, rural (% of households)",,,,,,,,,,,14,,,,
"Access to non-solid fuel, urban (% of households)",,,,,,,,,,,77,,,,
Access to non-solid fuel (% of households),29.40754,,,,,,,,,,42.43333,,,,
Alternative and nuclear energy (% of total energy use),2.403610497,2.507107354,2.269864241,2.344060601,2.344415817,2.576193116,2.756919073,2.641427152,2.32785049,2.240710957,2.576466966,2.978542627,,,
Fossil fuel energy consumption (% of total),65.01202499,64.990694,65.75099614,66.07846697,67.42992634,67.89852607,68.7277804,69.29026213,70.42350373,72.47024508,72.47469559,72.30027842,,,
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",168.730669,163.5369193,161.9662124,153.926039,151.2671134,143.8072244,138.3965294,134.3709988,135.3912082,137.704224,129.4299384,125.6832933,,,
Energy use (kt of oil equivalent),457198.203,464501.25,477539.705,489507.225,519164.856,539388.096,567182.481,604659.492,632956.028,698359.686,723743.182,749446.652,,,
Combustible renewables and waste (metric tons of oil equivalent),148863.158,150862.523,152597.419,154428.668,156775.223,159122.207,161498.063,169292.865,171969.792,176152.601,180088.386,184800.596,,,
Combustible renewables and waste (% of total energy),32.55987382,32.47838902,31.95491755,31.54778114,30.19758005,29.50050403,28.47373965,27.99804969,27.16931104,25.22376428,24.88291296,24.65827227,,,
Electric power consumption (kWh),4.07E+11,4.15E+11,4.36E+11,4.62E+11,4.93E+11,5.20E+11,5.73E+11,6.31E+11,6.67E+11,7.20E+11,7.73E+11,8.35E+11,,,
Electric power consumption (kWh per capita),390.9545725,391.7269015,404.712254,422.1042127,443.7217858,461.0805792,501.1443516,544.687764,568.0202563,604.903766,641.2717269,684.1057013,,,
Energy use (kg of oil equivalent per capita),438.659674,438.4151587,443.519241,447.5344208,467.4524147,478.5442786,496.0970563,521.665059,538.8408308,586.7887972,600.3055621,613.7188502,,,
CO2 intensity (kg per kg of oil equivalent energy use),2.595511518,2.591689682,2.568982579,2.61878367,2.59748819,2.616163791,2.652346993,2.664978388,2.861634775,2.838455449,2.775601881,,,,
CO2 emissions from gaseous fuel consumption (kt),43908.658,43604.297,47172.288,50028.881,49625.511,50479.922,49482.498,52738.794,57366.548,79067.854,98458.95,,,,
CO2 emissions from gaseous fuel consumption (% of total),3.700178612,3.622091376,3.845176641,3.902672056,3.679985642,3.577275491,3.289262,3.272846434,3.167167062,3.988767371,4.901325457,,,,
CO2 emissions (kg per 2005 US$ of GDP),1.969063132,1.905642649,1.870803774,1.81240132,1.766610278,1.691563425,1.650434111,1.610059362,1.741996669,1.75740556,1.615230732,,,,
CO2 emissions (kt),1186663.202,1203843.097,1226791.183,1281913.527,1348524.582,1411127.606,1504364.748,1611404.478,1811288.981,1982262.856,2008822.937,,,,
CO2 emissions from liquid fuel consumption (kt),303752.278,298068.428,284834.225,293851.378,296858.318,300011.938,316902.14,323656.754,419020.756,472771.642,465294.629,,,,
CO2 emissions from liquid fuel consumption (% of total),25.59717681,24.7597406,23.21782459,22.92287052,22.01356371,21.26044,21.06551223,20.08538256,23.13384338,23.85009842,23.16255059,,,,
CO2 emissions (metric tons per capita),1.138546236,1.136236043,1.139393204,1.171995833,1.214202126,1.251950214,1.315821535,1.390226108,1.54196566,1.665573859,1.666209247,,,,
CO2 emissions (kg per PPP $ of GDP),0.552521901,0.522819105,0.505505301,0.480154181,0.455508043,0.42256352,0.399995966,0.380076725,0.403438723,0.403824556,0.366659736,,,,
CO2 emissions (kg per 2011 PPP $ of GDP),0.437942395,0.423836947,0.416088378,0.403098997,0.392914541,0.376223253,0.367075618,0.358095808,0.38744019,0.390867305,0.35924598,,,,
CO2 emissions from solid fuel consumption (kt),788507.676,806574.985,834689.874,874660.174,935308.687,986632.019,1056349.023,1147807.67,1240524.098,1326284.227,1338473.335,,,,
CO2 emissions from solid fuel consumption (% of total),66.44747007,67.00000914,68.03846372,68.2308249,69.35792639,69.9179872,70.21894287,71.23026439,68.48846932,66.90758609,66.62973179,,,,
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",13550.7,,,,,15539.7,,,20406.9,,20937,,,,
HFC gas emissions (thousand metric tons of CO2 equivalent),8107.2,,,,,9845.2,,,13553.7,,13425,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),375974.9,,,,,375929.2,,,379980.7,,377589.2,,,,
Agricultural methane emissions (% of total),66.95216429,,,,,64.31706621,,,62.68264671,,60.75648167,,,,
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),82088.2,,,,,93522,,,104159.1,,116094,,,,
Energy related methane emissions (% of total),14.61795097,,,,,16.00051463,,,17.1823676,,18.68025617,,,,
Methane emissions (kt of CO2 equivalent),561557.5,,,,,584493.7,,,606197.6,,621479.7,,,,
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),149870,,,,,156298.4,,,162342.6,,170550.2,,,,
Agricultural nitrous oxide emissions (% of total),75.12435093,,,,,74.00723697,,,73.2871425,,72.84242734,,,,
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),23391.3,,,,,25954.4,,,28290.3,,28800.3,,,,
Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions),12.54892958,,,,,13.12365822,,,13.5205254,,12.43517651,,,,
Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent),1643.3,,,,,1761.9,,,1659.8,,314.9,,,,
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),199495.9,,,,,211193.4,,,221515.8,,234135.8,,,,
PFC gas emissions (thousand metric tons of CO2 equivalent),2008.8,,,,,1115.8,,,1551.8,,1740,,,,
"PM2.5 pollution, mean annual exposure (micrograms per cubic meter)",,,,,,31.46866,,,,,32.02058,,,,
"PM2.5 pollution, population exposed to levels exceeding WHO guideline value (% of total)",,,,,,99.90644,,,,,99.94553,,,,
SF6 gas emissions (thousand metric tons of CO2 equivalent),3434.7,,,,,4578.7,,,5301.4,,5772,,,,
"Bird species, threatened",,,,,,,,,,,,,,,73
Disaster risk reduction progress score (1-5 scale; 5=best),,,,,,,,,,,,3.25,,,
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,,,,,,,
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,,,,,,,4.356108992,,,,,
CO2 emissions from residential buildings and commercial and public services (million metric tons),74.1,72.9,76.49,77.6,80.19,80.74,82.92,85.23,84.34,89.64,95.61,98.29,,,
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),7.622437328,7.41109733,7.540715328,7.459816965,7.170705535,6.934281494,6.59356388,6.282710935,5.808900001,5.464054519,5.589822442,5.63247109,,,
"CO2 emissions from electricity and heat production, total (million metric tons)",551.45,570.37,579.03,603.66,660.46,683.94,729.19,794.18,835.7,912.89,939.85,963.48,,,
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",56.72595229,57.98446618,57.08328404,58.03083904,59.05928642,58.73956508,57.98312646,58.54280617,57.5586641,55.64570202,54.94817093,55.21185518,,,
CO2 emissions from manufacturing industries and construction (million metric tons),228.79,221.86,235.85,228.49,241.29,264.47,295.71,314.51,351.39,419.28,455.2,471.62,,,
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),23.53491817,22.5545412,23.251114,21.96512343,21.57650004,22.7137655,23.51402285,23.18403633,24.20191334,25.5574384,26.61319084,27.02600484,,,
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)",23.52,24.63,26.49,32.34,34.14,33.59,38.06,43.21,49.56,72.15,58.28,41.79,,,
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",2.4194295,2.503913954,2.611498876,3.108897947,3.052848073,2.884846611,3.026423556,3.185215763,3.413434717,4.397942141,3.40733032,2.394760066,,,
CO2 emissions from transport (million metric tons),94.28,93.89,96.52,98.15,102.22,101.62,111.71,119.44,130.93,146.58,161.5,169.87,,,
CO2 emissions from transport (% of total fuel combustion),9.698291381,9.544964724,9.515359438,9.435322618,9.14065993,8.72754131,8.882863254,8.804493653,9.017776584,8.934862911,9.442070123,9.734335782,,,
"Fish species, threatened",,,,,,,,,,,,,,,213
"Plant species (higher), threatened",,,,,,,,,,,,,,,332
"Mammal species, threatened",,,,,,,,,,,,,,,94
Population density (people per sq. km of land area),350.5533646,356.3515578,362.1382162,367.8832372,373.5469674,379.102428,384.5328923,389.8490342,395.084853,400.2899475,405.4986893,410.7225973,415.9460822,421.1434843,
Population living in areas where elevation is below 5 meters (% of total population),3.761993,,,,,,,,,,,,,,
Population in largest city,16366787,16753128,17030562,17504993,18079156,18670494,19282029,19913595,20566759,21239462,21935142,22653608,23395607,24161909,24953311
Population in the largest city (% of urban population),5.675766973,5.663830901,5.600228611,5.601297459,5.632061012,5.665959708,5.703742836,5.744764312,5.78875098,5.834575737,5.882316817,5.931368631,5.98083325,6.031286444,6.08310219
Population in urban agglomerations of more than 1 million,125358087,129149208,132561940,136084517,139726105,143475670,147352893,151357291,155499439,159766970,164182455,168745527,173461847,178337316,183378086
Population in urban agglomerations of more than 1 million (% of total population),12.02750519,12.18962716,12.31180788,12.44159481,12.58084102,12.72913909,12.88850395,13.05822718,13.23779903,13.42423826,13.61804068,13.81850336,14.02633687,14.24260654,14.46881779
Pump price for diesel fuel (US$ per liter),0.39,,0.41,,0.62,,0.75,,0.7,,0.82,,0.86,,
Pump price for gasoline (US$ per liter),0.6,,0.66,,0.87,,1.01,,1.09,,1.15,,1.25,,
GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),,,,,,43.88424732,,,39.9346962,,,,,,
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",,,1.074305709,,,,,,,,,,1.825294906,1.916869851,
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,,91.48,,,,,,,,,,90.41,90.41,
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,,6.881,,,,,,,,,,7.359,7.359,
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,,1.638,,,,,,,,,,2.234,2.234,
"Annual freshwater withdrawals, total (billion cubic meters)",,,610.4,,,,,,,,,,761,761,
"Annual freshwater withdrawals, total (% of internal resources)",,,42.21300138,,,,,,,,,,52.62793914,52.62793914,
"Renewable internal freshwater resources, total (billion cubic meters)",,,1446,,,,,1446,,,,,1446,1446,
Renewable internal freshwater resources per capita (cubic meters),,,1342.985339,,,,,1247.52474,,,,,1169.253266,1154.823316,
Terrestrial protected areas (% of total land area),5.010823944,5.025034298,5.025035998,5.025035998,5.025035998,5.025035998,5.025035998,5.025035998,5.025035998,5.025035998,5.057785409,,5.21455039,,
Marine protected areas (% of territorial waters),0.975753462,1.674679836,1.674679836,1.674679836,1.674679836,1.674679836,1.674679836,1.674679836,1.674679836,1.674679836,5.47767533,,5.813369159,,
Terrestrial and marine protected areas (% of total territorial area),4.813706151,4.822319099,4.822320696,4.822320696,4.822320696,4.822320696,4.822320696,4.822320696,4.822320696,4.822320696,4.849121232,,4.996401054,,
Bank nonperforming loans to total gross loans (%),12.8,11.4,10.4,8.8,7.2,5.2,3.5,2.7,2.449712061,2.212183954,2.386132864,2.670195015,3.373953917,4.027728635,3.952750154
"Automated teller machines (ATMs) (per 100,000 adults)",,,,,,2.295224935,2.742145426,3.38114306,4.291000725,5.31487926,7.274236546,8.857461539,11.20972521,,
Bank capital to assets ratio (%),5.7,5.3,5.5,5.7,,,6.6,6.4,7.3,7,7.1,6.7,7,6.9,
"Commercial bank branches (per 100,000 adults)",,,,,8.992343452,8.961681169,8.935064854,9.048127557,9.354687426,9.645828153,10.08179327,10.53590208,11.38354803,,
"Borrowers from commercial banks (per 1,000 adults)",,,,,90.18442388,102.5417085,111.1514663,126.6944661,133.5458892,,,,,,
"Depositors with commercial banks (per 1,000 adults)",,,,,621.0024948,620.4175118,631.1124021,661.4875857,726.0295889,,,,,,
"Point-of-sale terminals (per 100,000 adults)",,,,,,,,,,,,,,,
Domestic credit to private sector by banks (% of GDP),27.85112778,28.12616867,31.74969675,31.08119674,35.56804934,39.40356574,43.22063097,44.81872583,48.53904748,47.29669042,49.58349467,49.73290024,51.02003779,51.82493981,
Bank liquid reserves to bank assets ratio (%),,,,,,,,,,,,,,,
"Total reserves (includes gold, current US$)",41059062638,49050841243,71607863519,1.04E+11,1.32E+11,1.38E+11,1.78E+11,2.77E+11,2.57E+11,2.85E+11,3.00E+11,2.99E+11,3.00E+11,2.98E+11,
Total reserves (% of total external debt),40.60012211,49.29778271,67.71966321,87.25872636,106.4593773,113.7211031,111.612102,135.5392749,113.3454092,111.0687873,103.0274562,88.68744502,76.04339998,69.71914612,
Total reserves in months of imports,,,,,,8.518473343,8.919928631,11.13919195,7.714252664,9.773711067,7.760633517,6.188790574,5.903715108,,
Total reserves minus gold (current US$),37902245709,45870471188,67665480917,98937910594,1.27E+11,1.32E+11,1.71E+11,2.67E+11,2.47E+11,2.65E+11,2.75E+11,2.71E+11,2.71E+11,2.76E+11,
Claims on central government (annual growth as % of broad money),4.660522368,6.526991892,4.878497693,4.078561504,0.751143423,-0.599137723,2.434322254,1.499799093,7.904803164,9.369091338,5.259877468,7.238521064,4.978760359,4.569674746,
Claims on other sectors of the domestic economy (annual growth as % of broad money),,,,,,,,,,,,,,,
Net domestic credit (current LCU),1.11E+13,1.25E+13,1.44E+13,1.58E+13,1.87E+13,2.16E+13,2.61E+13,3.03E+13,3.81E+13,4.54E+13,5.60E+13,6.65E+13,7.67E+13,8.75E+13,
Net foreign assets (current LCU),1.84E+12,2.28E+12,3.34E+12,4.57E+12,5.66E+12,6.42E+12,7.76E+12,1.07E+13,1.19E+13,1.26E+13,1.26E+13,1.49E+13,1.54E+13,1.76E+13,
Claims on private sector (annual growth as % of broad money),9.943915337,4.803978438,10.67227947,4.99063691,15.30454265,14.66991003,16.8381119,13.08609704,14.05424469,7.758628703,15.80847676,10.4740711,9.85851637,9.478760302,
Broad money (current LCU),1.17E+13,1.34E+13,1.56E+13,1.76E+13,2.06E+13,2.38E+13,2.90E+13,3.54E+13,4.27E+13,5.03E+13,5.93E+13,6.89E+13,7.65E+13,8.78E+13,
Broad money (% of GDP),53.70333732,56.74395284,61.54029643,62.09037876,63.52173167,64.46119069,67.42787752,70.99879909,75.78001579,77.71507506,76.18662723,76.44505284,75.62587484,77.34526041,
Broad money to total reserves ratio,6.23382518,5.714259067,4.503022298,3.701081614,3.482182515,3.901654925,3.594327717,3.179797176,3.603492852,3.727305942,4.331791015,4.811026378,4.679003227,4.869675559,
Broad money growth (annual %),15.17170763,14.32055069,16.76116474,13.03361109,16.73233295,15.5999039,21.63314112,22.27150287,20.49520988,17.99583922,17.80217706,16.13758934,11.04569666,14.83153,
Money (current LCU),3.50E+12,3.85E+12,4.32E+12,5.03E+12,6.07E+12,7.21E+12,8.60E+12,9.89E+12,1.10E+13,1.30E+13,1.52E+13,1.63E+13,1.74E+13,1.91E+13,
Money and quasi money (M2) (current LCU),1.17E+13,1.34E+13,1.56E+13,1.76E+13,2.06E+13,2.38E+13,2.90E+13,3.54E+13,4.27E+13,5.03E+13,5.93E+13,6.89E+13,7.65E+13,8.78E+13,
Money and quasi money (M2) as % of GDP,53.70333732,56.74395284,61.54029643,62.09037876,63.52173167,64.46119069,67.42787752,70.99879909,75.78001579,77.71507506,76.18662723,76.44505284,75.62587484,77.34526041,
Money and quasi money (M2) to total reserves ratio,6.23382518,5.714259067,4.503022298,3.701081614,3.482182515,3.901654925,3.594327717,3.179797176,3.603492852,3.727305942,4.331791015,4.811026378,4.679003227,4.869675559,
Money and quasi money growth (annual %),15.17170763,14.32055069,16.76116474,13.03361109,16.73233295,15.5999039,21.63314112,22.27150287,20.49520988,17.99583922,17.80217706,16.13758934,11.04569666,14.83153,
